architecture,combination,acceleration,fuel_cons_NEDC,category,engine,motors,fuel_cons_HWFET,fuel_cons_US06,fuel_cons_WLTC,cost,availability,weight
acceleration_e10043_a1_0,i1m96_50,7.2029302405240685,3.424608911205584,Series - 2WD,"1.5 l, 3 cylinders","96kW, 50kW",3.5803613424153724,5.0616482699145005,3.0572384672888986,57500.0,0.99916,1790.0
acceleration_e10043_a1_0,i1m96_33,8.133904278990551,3.4118455393207507,Series - 2WD,"1.5 l, 3 cylinders","96kW, 33kW",3.5702856030487613,inf,3.04645422387383,57100.0,0.99916,1732.0
acceleration_e10043_a1_0,i1m50_96,7.2029302405240685,3.424608911205584,Series - 2WD,"1.5 l, 3 cylinders","50kW, 96kW",3.5803613424153733,5.061648269914503,3.0572384672889066,57500.0,0.99916,1790.0
acceleration_e10043_a1_0,i1m50_50,8.971835604518327,3.3900885413965725,Series - 2WD,"1.5 l, 3 cylinders","50kW, 50kW",3.5531012689022003,5.025352360197913,3.027885648682623,54500.0,0.99916,1700.0
acceleration_e10043_a1_0,i1m50_33,10.773269765152447,3.3773436918555437,Series - 2WD,"1.5 l, 3 cylinders","50kW, 33kW",3.5430308850612016,inf,3.0172757188523964,54100.0,0.99916,1642.0
acceleration_e10043_a1_0,i1m33_96,8.133904278990551,3.4118455393207494,Series - 2WD,"1.5 l, 3 cylinders","33kW, 96kW",3.5702856030487595,inf,3.0464542238738237,57100.0,0.99916,1732.0
acceleration_e10043_a1_0,i1m33_50,10.773269765155714,3.377343691855544,Series - 2WD,"1.5 l, 3 cylinders","33kW, 50kW",3.5430308850612016,inf,3.0172757188524013,54100.0,0.99916,1642.0
acceleration_e10043_a1_0,i1m33_33,13.849676797105904,3.36460610519675,Series - 2WD,"1.5 l, 3 cylinders","33kW, 33kW",3.533015576497433,inf,3.00627302463916,53700.0,0.99916,1584.0
acceleration_e10043_a1_0,i2m96_96,6.260774724556974,2.9462547126662386,Series - 2WD,"2.4 l, 5 cylinders","96kW, 96kW",3.071307362882433,4.353728161453992,2.583448671096839,62000.0,0.99916,1900.0
acceleration_e10043_a1_0,i2m96_50,7.202930444078327,2.91699907143588,Series - 2WD,"2.4 l, 5 cylinders","96kW, 50kW",3.047926758254207,4.322636316867858,2.5577796417880867,59000.0,0.99916,1810.0
